Country,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Guinea,42.41,43.58,44.79,46.03,47.3,48.6,49.93,51.28,52.66,54.06,55.48,56.92
,,,,,,,,,,,,
Gambia,140.42,145.04,149.82,154.79,159.92,165.21,170.64,176.19,181.86,187.65,193.56,199.61
Guinea-Bissau,43.21,44.2,45.23,46.32,47.46,48.63,49.83,51.05,52.27,53.5,54.74,55.99
Greece,84.58,84.72,84.7,84.52,84.19,83.78,83.36,83.01,82.75,82.55,82.39,82.23
Grenada,310.16,311.14,312.45,314.11,316.02,318.15,320.3,322.35,324.3,326.1,327.81,329.42
Greenland,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14
Guatemala,129.55,132.41,135.29,138.21,141.14,144.1,147.08,150.09,153.12,156.17,159.25,162.34
Guam,294.51,294.86,295.27,295.73,296.29,297.05,298.18,299.73,301.76,304.22,306.98,309.8
Guyana,3.48,3.49,3.5,3.52,3.53,3.54,3.55,3.57,3.58,3.6,3.62,3.64
,,,,,,,,,,,,
"Hong Kong, China",6199.88,6238.42,6275.97,6312.24,6348.51,6386.29,6427.63,6473.87,6525.71,6582.27,6641.2,6699.24
Honduras,64.53,65.63,66.71,67.75,68.77,69.78,70.78,71.78,72.8,73.83,74.85,75.88
Croatia,76.77,76.52,76.28,76.02,75.76,75.48,75.21,74.93,74.66,74.39,74.12,73.84
Haiti,349.73,355.06,360.35,365.58,370.77,375.9,380.97,385.98,390.93,395.79,400.6,405.34
Hungary,108.04,107.87,107.65,107.37,107.04,106.68,106.3,105.93,105.57,105.21,104.85,104.49
Indonesia,123.17,124.79,126.44,128.11,129.8,131.49,133.16,134.78,136.36,137.9,139.39,140.84
India,364.15,369.36,374.47,379.48,384.39,389.23,394.03,398.83,403.62,408.4,413.15,417.86
Ireland,63.75,64.86,65.7,66.2,66.42,66.47,66.52,66.71,67.07,67.57,68.17,68.78
,,,,,,,,,,,,
Iran,41.56,42.04,42.55,43.08,43.64,44.21,44.78,45.33,45.87,46.38,46.88,47.35
Iraq,67.03,68.89,70.95,73.25,75.76,78.4,81.08,83.72,86.31,88.85,91.37,93.91
Iceland,3.02,3.07,3.11,3.14,3.16,3.18,3.19,3.21,3.23,3.25,3.27,3.29
Israel,321.42,329.09,336.22,342.7,348.64,354.23,359.74,365.38,371.2,377.13,383.12,389.1
Italy,196.85,197.34,197.74,198.05,198.24,198.35,198.41,198.44,198.45,198.44,198.41,198.35
Jamaica,247.26,248.37,249.43,250.44,251.41,252.34,253.26,254.17,255.08,255.99,256.86,257.68
Jordan,67.29,70.16,72.97,75.69,78.31,80.78,83.03,85.03,86.74,88.19,89.4,90.46
Japan,336.85,336.91,336.86,336.68,336.38,335.97,335.47,334.88,334.22,333.49,332.67,331.79
Kazakhstan,5.84,5.91,5.99,6.08,6.17,6.28,6.38,6.47,6.55,6.63,6.7,6.77
Kenya,65.9,67.66,69.49,71.37,73.3,75.28,77.3,79.35,81.42,83.51,85.63,87.76
Kyrgyz Republic,26.51,26.91,27.33,27.78,28.25,28.74,29.23,29.71,30.18,30.63,31.08,31.51
,,,,,,,,,,,,
Cambodia,76.96,78.13,79.34,80.61,81.93,83.29,84.67,86.05,87.42,88.8,90.17,91.52
Kiribati,121.93,124.6,127.07,129.29,131.32,133.2,135.05,136.95,138.92,140.94,143.02,145.19
St. Kitts and Nevis,185.3,186.9,188.5,190.2,191.9,193.6,195.3,196.9,198.6,200.2,201.7,219.6
,,,,,,,,,,,,
Korea,483.74,486.71,489.53,492.19,494.7,497.08,499.35,501.53,503.63,505.63,507.54,509.36
Lao PDR,25.53,25.98,26.44,26.89,27.34,27.79,28.25,28.72,29.22,29.72,30.23,30.74
Lebanon,393.24,400.17,415.04,439.4,471.22,505.93,537.04,559.88,573.03,577.92,576.23,570.78
Liberia,32.98,34.31,35.54,36.63,37.62,38.55,39.48,40.44,41.44,42.47,43.54,44.62
Libya,3.48,3.53,3.56,3.57,3.57,3.56,3.56,3.57,3.6,3.64,3.7,3.75
St. Lucia,278.7,282.3,285.4,287.8,289.6,291,292.3,293.6,295.1,296.6,298.2,307.4
Sri Lanka,304.06,306.03,307.9,309.64,311.26,312.79,314.27,315.73,317.19,318.63,320.02,321.31
Lesotho,64.96,65.56,66.22,66.96,67.76,68.61,69.47,70.32,71.16,71.97,72.78,73.58
Lithuania,49.32,48.59,47.83,47.03,46.2,45.4,44.68,44.09,43.65,43.36,43.15,42.99
Latvia,33.25,32.83,32.42,32,31.59,31.2,30.85,30.56,30.33,30.15,30.02,29.89
"Macao, China",16948.65,17315.79,17704.57,18119.47,18553.91,18992.5,19414.74,19805.43,20159.08,20479.77,20777.5,21067.27
St. Martin (French part),678.033,687.077,690.846,688.346,680.313,670.092,662.04,659.154,662.96,672.059,,717
Morocco,70.21,71.02,71.9,72.85,73.86,74.91,75.96,76.98,77.97,78.92,79.84,80.73
Moldova,121.45,121,120.66,120.47,120.38,120.35,120.31,120.2,120.03,119.78,119.48,119.15
Madagascar,33.93,34.9,35.89,36.91,37.96,39.03,40.14,41.27,42.42,43.61,44.83,46.07
Maldives,1144.84,1177.99,1219.11,1268.32,1324.12,1385.31,1450.05,1516.38,1585.04,1654.67,1718.99,1769.84
Mexico,58.53,59.47,60.38,61.27,62.14,62.99,63.83,64.66,65.48,66.29,67.09,67.87
Marshall Islands,312.08,312.5,313.14,314.06,315.09,316.32,317.66,319.11,320.75,322.54,324.52,326.62
,,,,,,,,,,,,
Macedonia,79.94,80.08,80.22,80.35,80.49,80.61,80.73,80.84,80.94,81.03,81.11,81.18
Mali,11.47,11.85,12.23,12.61,12.99,13.38,13.78,14.19,14.62,15.07,15.53,16.01
Myanmar,75.42,75.92,76.46,77.04,77.66,78.31,78.98,79.66,80.35,81.05,81.75,82.45
Montenegro,44.88,44.96,45.04,45.11,45.17,45.23,45.28,45.31,45.34,45.35,45.35,45.34
Mongolia,1.68,1.71,1.73,1.76,1.8,1.83,1.86,1.89,1.92,1.95,1.98,2.01
Northern Mariana Islands,118.75,117.81,117.33,117.42,118.07,119.1,120.23,121.26,122.15,122.96,123.66,124.38
Mozambique,28.77,29.58,30.43,31.3,32.19,33.11,34.05,35,35.97,36.95,37.95,38.98
Mauritania,3.31,3.4,3.48,3.57,3.66,3.76,3.85,3.95,4.04,4.14,4.24,4.34
Mauritius,607.48,609.8,611.74,613.27,614.45,615.42,616.35,617.38,618.56,619.85,621.17,622.39
Malawi,117.36,120.94,124.66,128.52,132.52,136.65,140.91,145.3,149.81,154.45,159.19,164.04
Malaysia,82.22,83.62,85,86.38,87.73,89.07,90.39,91.69,92.96,94.21,95.44,96.65
Namibia,2.57,2.61,2.66,2.72,2.78,2.85,2.92,2.98,3.05,3.12,3.18,3.25
New Caledonia,12.88,13.07,13.26,13.44,13.62,13.8,13.98,14.16,14.34,14.52,14.69,14.87
Niger,11.91,12.37,12.86,13.38,13.92,14.49,15.09,15.71,16.35,17.02,17.72,18.44
Nigeria,163.59,168.01,172.58,177.29,182.12,187.08,192.12,197.24,202.42,207.67,212.99,218.4
Nicaragua,42.91,43.47,44.01,44.55,45.08,45.61,46.13,46.65,47.17,47.69,48.21,48.72
Norway,12.39,12.54,12.7,12.86,13.03,13.2,13.37,13.53,13.69,13.84,13.99,14.13
Nepal,178.86,180.68,182.61,184.67,186.85,189.12,191.43,193.73,196.02,198.31,200.58,202.84
New Zealand,16.01,16.17,16.32,16.45,16.57,16.68,16.79,16.92,17.05,17.2,17.36,17.51
Oman,8.57,8.92,9.51,10.37,11.45,12.62,13.69,14.51,15.04,15.32,15.43,15.48
Pakistan,204.87,209.17,213.6,218.15,222.83,227.6,232.44,237.31,242.21,247.14,252.06,256.96
Panama,46.39,47.19,48,48.82,49.64,50.46,51.28,52.1,52.91,53.72,54.52,55.31
Peru,22.29,22.57,22.85,23.16,23.47,23.78,24.1,24.41,24.72,25.03,25.33,25.63
Philippines,300.99,305.47,310.13,315,320.06,325.24,330.46,335.66,340.83,345.99,351.14,356.29
Palau,40.66,39.75,39.03,38.58,38.35,38.27,38.32,38.4,38.53,38.71,38.93,39.15
Papua New Guinea,14.13,14.46,14.79,15.13,15.46,15.79,16.13,16.46,16.8,17.14,17.48,17.83
Poland,123.21,123.29,123.37,123.43,123.48,123.51,123.51,123.49,123.43,123.33,123.2,123.04
Puerto Rico,420.31,419.22,418.23,417.36,416.65,416.08,415.62,415.25,414.97,414.78,414.64,414.5
,,,,,,,,,,,,
Dem. People's Rep. Korea,201.13,202.19,203.26,204.34,205.44,206.53,207.62,208.69,209.73,210.76,211.77,212.76
Portugal,114.69,114.83,114.77,114.49,114.01,113.42,112.79,112.22,111.73,111.3,110.92,110.55
Paraguay,14.87,15.07,15.27,15.47,15.68,15.9,16.11,16.32,16.53,16.75,16.96,17.17
West Bank and Gaza,596.67,612.81,628.93,645.01,661.13,677.19,693.26,709.32,725.43,740,758.98,774
Palestine,640.31,657.81,675.88,694.54,713.92,733.94,754.49,775.49,796.88,818.64,840.75,863.19
French Polynesia,66.02,66.31,66.61,66.92,67.25,67.58,67.93,68.28,68.64,69.03,69.42,69.82
Romania,87.01,86.04,85.15,84.36,83.67,83.03,82.43,81.85,81.26,80.7,80.14,79.6
,,,,,,,,,,,,
Russia,8.37,8.37,8.37,8.38,8.38,8.38,8.39,8.39,8.39,8.39,8.38,8.37
Rwanda,370.17,380.58,390.8,400.78,410.68,420.58,430.58,440.76,451.13,461.64,472.24,482.85
Saudi Arabia,12.44,12.75,13.07,13.39,13.72,14.05,14.37,14.67,14.96,15.23,15.49,15.74
Sudan,18.34,18.78,19.22,19.64,20.07,20.49,20.94,21.41,21.91,22.44,22.98,23.54
Senegal,62.17,63.96,65.87,67.9,70.05,72.29,74.59,76.91,79.25,81.61,84,86.43
Solomon Islands,17.42,17.81,18.21,18.6,19,19.4,19.8,20.19,20.59,20.98,21.37,21.76
Sierra Leone,76.37,78.11,79.89,81.73,83.58,85.46,87.35,89.26,91.18,93.12,95.09,97.06
El Salvador,285.37,286.19,286.99,287.8,288.6,289.43,290.29,291.19,292.13,293.12,294.13,295.14
Somalia,14.32,14.67,15.03,15.38,15.74,16.1,16.49,16.92,17.37,17.87,18.38,18.93
Serbia,103.1,102.84,102.52,102.13,101.66,101.15,100.64,100.17,99.74,99.33,98.94,98.56
South Sudan,14.29,14.94,15.61,16.31,17.04,17.78,18.49,19.15,19.76,20.33,20.86,21.38
Suriname,3.09,3.13,3.16,3.2,3.23,3.26,3.29,3.31,3.34,3.37,3.4,3.42
,,,,,,,,,,,,
Slovakia,110.06,110.17,110.27,110.36,110.44,110.52,110.59,110.66,110.73,110.78,110.82,110.85
Slovenia,100.18,100.78,101.26,101.58,101.77,101.87,101.93,102,102.09,102.18,102.27,102.34
Sweden,20.62,20.79,20.97,21.15,21.33,21.51,21.69,21.86,22.02,22.17,22.32,22.47
Eswatini,66.46,67.6,68.73,69.84,70.95,72.04,73.11,74.13,75.12,76.06,76.96,77.84
Sint Maarten (Dutch part),998.94,"1,007.00","1,001.65",983.38,"1,018.82","1,076.68","1,108.38","1,141.88","1,175.56",1219,1234,1167.7
Seychelles,196.63,197.4,198.4,199.75,201.31,203.03,204.82,206.47,208.07,209.6,211.08,212.48
,,,,,,,,,,,,
Syria,108.53,111.06,111.89,110.71,107.89,104.34,101.37,99.92,100.25,102.1,105.21,109.09
Turks and Caicos Islands,32.84,33.61,34.38,35.13,35.86,36.56,37.23,37.87,38.48,39.07,39.65,40.2
Chad,8.68,8.96,9.27,9.58,9.9,10.24,10.58,10.93,11.29,11.66,12.03,12.41
Togo,78.19,80.52,82.87,85.22,87.57,89.95,92.35,94.81,97.3,99.85,102.43,105.06
Thailand,129.51,129.69,129.97,130.38,130.89,131.45,131.99,132.44,132.81,133.1,133.33,133.51
Tajikistan,51.31,52.45,53.63,54.85,56.1,57.38,58.68,60,61.32,62.66,63.99,65.32
Timor-Leste,69.33,70.06,71.09,72.47,74.11,75.95,77.83,79.67,81.46,83.2,84.93,86.66
Tonga,137.84,138.52,138.65,138.08,136.98,135.69,134.7,134.37,134.84,136,137.6,139.33
Trinidad and Tobago,256.41,257.63,258.89,260.19,261.52,262.81,264.03,265.12,266.08,266.89,267.57,268.13
