Country,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Mongolia,,,33.1,33.9,33.8,,32,,32.3,,,
Northern Mariana Islands,,,,,,,,,,,,
Mozambique,45.6,,,,,,54,,,,,
Mauritania,35.7,,,,,,32.6,,,,,
Mauritius,,,,,38.5,,,,,,,
Malawi,,,45.5,,,,,,44.7,,,
Malaysia,45.5,,,43.9,,41.3,,41,,,,
Namibia,,61,,,,,,59.1,,,,
New Caledonia,,,,,,,,,,,,
Niger,,,,31.5,,,34.3,,,,,
Nigeria,,43,,,,,,,,,,
Nicaragua,,43.9,,,,,46.2,,,,,
Norway,27,26.2,25.7,25.3,25.7,26.4,26.8,27.5,,,,
Nepal,,,32.8,,,,,,,,,
New Zealand,,,,,,,,,,,,
Oman,,,,,,,,,,,,
Pakistan,31.6,,29.8,30.9,,30.7,,33.5,,,,
Panama,52.7,51.8,51.6,51.3,51.7,51.5,50.5,50.8,50.4,49.9,,
Peru,47.5,47,45.5,44.7,44.4,43.9,43.2,43.4,43.6,43.3,,
Philippines,,46.3,,,46.5,,,44.4,,,,
Palau,,,,,,,,,,,,
Papua New Guinea,,41.9,,,,,,,,,,
Poland,33.5,33.4,33.2,33.2,33,33.1,32.8,31.8,,,,
Puerto Rico,,,,,,,,,,,,
Dem. People's Rep. Korea,,,,,,,,,,,,
Portugal,,36.6,34.9,35.8,36.3,36,36.2,35.6,35.5,,,
Paraguay,,50.7,49.1,51,52.3,47.6,47.9,50.7,47.6,47.9,48.8,
West Bank and Gaza,,,34.5,35.3,34.4,,,,,33.7,,
Palestine,,,,,,,,,,,,
French Polynesia,,,,,,,,,,,,
Romania,,36.4,35.6,35.5,35.9,36.5,36.9,36,35.9,,,
Russia,,41.6,39.8,39.5,39.7,40.7,40.9,39.9,37.7,,,
Rwanda,,,47.2,,,45.1,,,43.7,,,
Saudi Arabia,,,,,,,,,,,,
Sudan,,,,,,,,,,,,
Senegal,,,,40.3,,,,,,,,
Solomon Islands,,,,,,37.1,,,,,,
Sierra Leone,,,,34,,,,,,,,
El Salvador,46.9,45.8,43.5,42.3,41.8,43.4,41.6,40.6,40,38,,
Somalia,,,,,,,,,,,,
Serbia,,,,,39.8,39.8,39.2,39.6,,,,
South Sudan,,46.3,,,,,,,,,,
Suriname,,,,,,,,,,,,
Slovakia,26,27.2,27.3,26.5,26.1,28.1,26.1,26.5,,,,
