Country,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Guinea-Bissau,1446936,1483921,1522599,1562989,1604979,1648257,1692439,1737202,1782437,1828146,1874309,1920922
Greece,11077841,11107017,11121341,11104899,11045011,10965211,10892413,10820883,10775971,10754679,10727668,10473455
Grenada,105456,105789,106233,106796,107446,108170,108902,109599,110261,110874,111454,112003
Greenland,56328,56323,56905,56890,56810,56483,56295,56114,56186,56171,56025,56672
Guatemala,14006428,14316263,14630417,14948803,15270778,15595821,15923243,16252429,16583060,16914936,17247807,17581472
Guam,159036,159226,159444,159692,159996,160407,161016,161853,162951,164281,165768,167294
Guyana,746817,747718,749436,752028,755399,759285,763380,767432,771366,775221,779004,782766
"Hong Kong, China",6957800,6972800,7024200,7071600,7150100,7178900,7229500,7291300,7336600,7391700,7451000,7436154
Honduras,7980955,8150775,8317470,8480671,8640691,8798521,8955589,9112916,9270795,9429013,9587522,9746117
Croatia,4309705,4305181,4295427,4280622,4267558,4255689,4238389,4203604,4174349,4124531,4089400,4130304
Haiti,9646580,9798046,9949322,10100320,10250930,10400673,10549008,10695542,10839970,10982366,11123176,11263077
Hungary,10038188,10022650,10000023,9971727,9920362,9893082,9866468,9843028,9814023,9787966,9768785,9684679
Indonesia,235469762,238620563,241834215,245116206,248452413,251806402,255129004,258383256,261554226,264645886,267663435,270625568
India,1200669765,1217726215,1234281170,1250288729,1265782790,1280846129,1295604184,1310152403,1324509589,1338658835,1352617328,1366417754
Ireland,4489544,4535375,4560155,4580084,4599533,4623816,4657740,4701957,4755335,4807388,4853506,4882495
Iran,72120604,72924837,73762519,74634956,75539862,76481943,77465753,78492215,79564016,80673951,81800269,82913906
Iraq,28385746,28973162,29741976,30725300,31890011,33157050,34411951,35572261,36610632,37552781,38433600,39309783
Iceland,317414,318499,318041,319014,320716,323764,327386,330815,335439,343400,353574,3390531
Israel,7308800,7485600,7623600,7765800,7910500,8059500,8215700,8380100,8546000,8713300,8883800,8519377
Italy,58826731,59095365,59277417,59379449,59539717,60233948,60789140,60730582,60627498,60536709,60431283,60550075
Jamaica,2781876,2795837,2810460,2825929,2842132,2858709,2875136,2891021,2906238,2920853,2934855,2948279
Jordan,6556478,6893260,7261539,7663131,8090872,8520420,8920049,9266575,9551467,9779173,9956011,10101694
Japan,128063000,128047000,128070000,127833000,127629000,127445000,127276000,127141000,126994511,126785797,126529100,126860301
Kazakhstan,15674000,16092822,16321872,16557201,16792089,17035550,17288285,17542806,17794055,18037776,18276499,18551427
Kenya,39791981,40901792,42030676,43178257,44343410,45519889,46699981,47878336,49051686,50221473,51393010,52573973
Kyrgyz Republic,5318700,5383300,5447900,5514600,5607200,5719600,5835500,5956900,6079500,6198200,6315800,6415850
Cambodia,13883834,14093604,14312212,14541423,14780454,15026332,15274503,15521436,15766293,16009414,16249798,16486542
Kiribati,98761,100930,102927,104728,106370,107890,109391,110930,112524,114158,115847,117606
St. Kitts and Nevis,48185,48599,49016,49447,49887,50331,50774,51203,51625,52045,52441,52823
Korea,49054708,49307835,49554112,49936638,50199853,50428893,50746659,51014947,51245707,51466201,51635256,51225308
Lao PDR,6046620,6148623,6249165,6347567,6444530,6541304,6639756,6741164,6845846,6953035,7061507,7169455
Lebanon,4764741,4813026,4953061,5202343,5538634,5914621,6262410,6532678,6711121,6811873,6848925,6855716
Liberia,3607860,3754133,3891356,4017443,4135659,4248334,4359505,4472230,4586788,4702228,4818977,4937374
Libya,6058748,6133984,6197663,6247439,6285750,6320359,6362037,6418315,6492164,6580724,6678567,6777452
St. Lucia,170011,172221,174085,175544,176646,177513,178296,179126,180024,180955,181889,182790
Sri Lanka,19983984,20123508,20261737,20398670,20425000,20585000,20778000,20970000,21203000,21444000,21670000,21323733
Lesotho,1987129,1990131,1995581,2003787,2014990,2028519,2043437,2059021,2075001,2091412,2108132,2125268
Lithuania,3198231,3162916,3097282,3028115,2987773,2957689,2932367,2904910,2868231,2828403,2789533,2759627
Latvia,2177322,2141669,2097555,2059709,2034319,2012647,1993782,1977527,1959537,1942248,1926542,1906743
"Macao, China",515239,526400,538219,550832,564039,577372,590208,602085,612836,622585,631636,640445
St. Martin (French part),36885,37377,37582,37446,37009,36453,36015,35858,36065,36560,37264,38002
Morocco,31536811,31929087,32343389,32781850,33241898,33715693,34192347,34663603,35126296,35581294,36029138,36471769
Moldova,3570108,3565604,3562045,3559986,3559519,3558566,3556397,3554108,3551954,3549196,3545883,4043263
Madagascar,19996473,20569117,21151640,21743967,22346641,22961253,23589887,24234088,24894380,25570540,26262368,26969307
Maldives,343452,353398,365734,380495,397237,415593,435015,454915,475513,496402,515696,530953
Mexico,110815271,112463887,114092963,115695473,117274155,118827161,120355128,121858258,123333376,124777324,126190788,127575529
Marshall Islands,56174,56250,56366,56531,56717,56938,57179,57439,57735,58058,58413,58791
Macedonia,2067313,2069039,2070741,2072487,2074278,2076067,2077775,2079328,2080745,2081996,2082958,2083459
Mali,14113577,14581429,15049353,15514591,15979499,16449864,16934220,17438778,17965429,18512394,19077690,19658031
Myanmar,49929642,50250367,50600818,50990615,51413698,51852451,52280807,52680726,53045226,53382581,53708395,54045420
Montenegro,616969,618294,619428,620079,620601,621207,621810,622159,622303,622373,622345,627809
Mongolia,2631898,2673796,2719896,2770362,2824699,2881792,2940108,2998439,3056359,3113779,3170208,3225167
Northern Mariana Islands,54625,54193,53971,54012,54311,54784,55305,55780,56188,56562,56882,57216
Mozambique,22276596,22894710,23531574,24187487,24862648,25560725,26286163,27042002,27829942,28649007,29495962,30366036
Mauritania,3296238,3393409,3494195,3598648,3706554,3817494,3930896,4046301,4163534,4282574,4403319,4525696
Mauritius,1244121,1247429,1250400,1252404,1255882,1258653,1260934,1262605,1263473,1264613,1265303,1269668
Malawi,13727890,14128155,14539612,14962112,15396005,15839269,16289540,16745303,17205289,17670260,18143315,18628747
Malaysia,27236006,27735040,28208035,28650955,29068159,29468872,29866559,30270962,30684804,31105028,31528585,31949777
Namibia,2043394,2081044,2118874,2156701,2194784,2233510,2273430,2314904,2358041,2402603,2448255,2494530
New Caledonia,242750,245950,249750,254350,259000,263650,268050,272400,276550,280350,284060,282750
Niger,15250908,15843133,16464025,17114761,17795191,18504255,19240157,20001663,20788838,21602472,22442948,23310715
Nigeria,150269623,154324933,158503197,162805071,167228767,171765769,176404902,181137448,185960289,190873311,195874740,200963599
Nicaragua,5667432,5745526,5824065,5903039,5982526,6062454,6142733,6223240,6303974,6384855,6465513,6545502
Norway,4768212,4828726,4889252,4953088,5018573,5079623,5137232,5188607,5234519,5276968,5314336,5378857
Nepal,26666576,26883535,27013212,27041437,26989862,26917906,26906926,27015031,27261131,27627124,28087871,28608710
New Zealand,4259800,4302600,4350700,4384000,4408100,4442100,4509700,4595700,4693200,4793900,4885500,4783063
Oman,2750963,2876186,3041434,3251108,3498029,3764805,4027260,4267348,4479219,4665935,4829483,4974986
Pakistan,171648986,175525609,179424641,183340592,187281475,191262919,195306825,199426964,203627284,207896686,212215030,216565318
Panama,3516204,3579215,3642687,3706483,3770624,3835437,3901315,3968487,4037078,4106771,4176873,4246439
Peru,28562317,28792655,29027674,29264318,29506788,29773987,30090359,30470734,30926032,31444297,31989256,32510453
Philippines,90901965,92414158,93966780,95570047,97212638,98871552,100513138,102113212,103663927,105173264,106651922,108116615
Palau,18704,18285,17955,17745,17640,17606,17626,17665,17725,17808,17907,18008
Papua New Guinea,6976201,7144776,7310507,7472200,7631002,7788379,7946731,8107775,8271760,8438029,8606316,8776109
Poland,38125759,38151603,38042794,38063255,38063164,38040196,38011735,37986412,37970087,37974826,37978548,37887768
