Country,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Afghanistan,0.2782,0.27816,0.27812000000000003,0.27808000000000005,0.27804000000000006,0.2780000000000001,0.2779600000000001,0.2779200000000001,0.2778800000000001,0.27784000000000014,0.27780000000000016,0.2777600000000002
Angola,0.42700000000000005,0.42700000000000005,0.42700000000000005,0.42700000000000005,0.42700000000000005,0.42700000000000005,0.42700000000000005,0.42700000000000005,0.42700000000000005,0.42700000000000005,0.42700000000000005,0.42700000000000005
Albania,0.3,0.2975,0.295,0.2925,0.29,0.2875,0.285,0.2825,0.27999999999999997,0.27749999999999997,0.27499999999999997,0.27249999999999996
United Arab Emirates,0.45899999999999996,0.45899999999999996,0.45899999999999996,0.45899999999999996,0.45899999999999996,0.45899999999999996,0.45899999999999996,0.45899999999999996,0.45899999999999996,0.45899999999999996,0.45899999999999996,0.45899999999999996
Argentina,0.45299999999999996,0.441,0.42900000000000005,0.4170000000000001,0.40500000000000014,0.3930000000000002,0.3810000000000002,0.36900000000000027,0.3570000000000003,0.34500000000000036,0.3330000000000004,0.32100000000000045
Australia,0.354,0.35050000000000003,0.3470000000000001,0.34350000000000014,0.3400000000000002,0.33650000000000024,0.3330000000000003,0.32950000000000035,0.3260000000000004,0.32250000000000045,0.3190000000000005,0.31550000000000056
Austria,0.304,0.315,0.326,0.337,0.34800000000000003,0.35900000000000004,0.37000000000000005,0.38100000000000006,0.39200000000000007,0.4030000000000001,0.4140000000000001,0.4250000000000001
Azerbaijan,0.318,0.32180000000000003,0.32560000000000006,0.3294000000000001,0.3332000000000001,0.33700000000000013,0.34080000000000016,0.3446000000000002,0.3484000000000002,0.35220000000000024,0.35600000000000026,0.3598000000000003
Burundi,0.386,0.386,0.386,0.386,0.386,0.386,0.386,0.386,0.386,0.386,0.386,0.386
Belgium,0.284,0.285,0.286,0.287,0.288,0.289,0.29,0.291,0.292,0.293,0.294,0.295
Benin,0.40099999999999997,0.412,0.423,0.434,0.445,0.456,0.467,0.47800000000000004,0.48900000000000005,0.5,0.5110000000000001,0.522
Burkina Faso,0.407,0.39799999999999996,0.38899999999999996,0.37999999999999995,0.37099999999999994,0.36199999999999993,0.3529999999999999,0.3439999999999999,0.3349999999999999,0.3259999999999999,0.3169999999999999,0.3079999999999999
Bangladesh,0.32,0.3205,0.321,0.3215,0.322,0.3225,0.323,0.3235,0.324,0.3245,0.325,0.3255
Bulgaria,0.336,0.33799999999999997,0.3399999999999999,0.34199999999999986,0.3439999999999998,0.34599999999999975,0.3479999999999997,0.34999999999999964,0.3519999999999996,0.35399999999999954,0.3559999999999995,0.35799999999999943
"Bahamas, The",0.6347142857142857,0.6131428571428571,0.5915714285714285,0.57,0.5484285714285714,0.5268571428571428,0.5052857142857142,0.48371428571428565,0.4621428571428571,0.4405714285714285,0.41899999999999993,0.39742857142857135
Bosnia and Herzegovina,0.33,0.33,0.33,0.33,0.33,0.33,0.33,0.33,0.33,0.33,0.33,0.33
Bolivia,0.508,0.49200000000000005,0.4760000000000001,0.46000000000000013,0.4440000000000002,0.4280000000000002,0.41200000000000025,0.3960000000000003,0.38000000000000034,0.3640000000000004,0.3480000000000004,0.33200000000000046
Brazil,0.54,0.537,0.534,0.531,0.528,0.525,0.522,0.519,0.516,0.513,0.51,0.507
Barbados,0.322,0.322,0.322,0.322,0.322,0.322,0.322,0.322,0.322,0.322,0.322,0.322
Brunei,0,0,0,0,0,0,0,0,0,0,0,0
Bhutan,0,0,0,0,0,0,0,0,0,0,0,0
Botswana,0.617,0.605,0.593,0.581,0.569,0.5569999999999999,0.5449999999999999,0.5329999999999999,0.5209999999999999,0.5089999999999999,0.4969999999999999,0.4849999999999999
Central African Republic,0.562,0.562,0.562,0.562,0.562,0.562,0.562,0.562,0.562,0.562,0.562,0.562
Canada,0.3333333333333333,0.33466666666666667,0.336,0.3373333333333334,0.3386666666666667,0.3400000000000001,0.34133333333333343,0.3426666666666668,0.34400000000000014,0.3453333333333335,0.34666666666666685,0.3480000000000002
Switzerland,0.33799999999999997,0.32899999999999996,0.31999999999999995,0.31099999999999994,0.30199999999999994,0.2929999999999999,0.2839999999999999,0.2749999999999999,0.2659999999999999,0.2569999999999999,0.2479999999999999,0.23899999999999988
Chile,0.497,0.49,0.483,0.476,0.469,0.46199999999999997,0.45499999999999996,0.44799999999999995,0.44099999999999995,0.43399999999999994,0.42699999999999994,0.41999999999999993
China,0.43,0.4335,0.437,0.4405,0.444,0.4475,0.451,0.4545,0.458,0.4615,0.465,0.4685
Côte d'Ivoire,0.43200000000000005,0.4295714285714286,0.42714285714285716,0.4247142857142857,0.42228571428571426,0.4198571428571428,0.41742857142857137,0.4149999999999999,0.4125714285714285,0.41014285714285703,0.4077142857142856,0.40528571428571414
Cameroon,0.466,0.466,0.466,0.466,0.466,0.466,0.466,0.466,0.466,0.466,0.466,0.466
"Congo, Dem. Rep.",0.489,0.489,0.489,0.489,0.489,0.489,0.489,0.489,0.489,0.489,0.489,0.489
Dem. Rep. Congo,0.42100000000000004,0.42100000000000004,0.42100000000000004,0.42100000000000004,0.42100000000000004,0.42100000000000004,0.42100000000000004,0.42100000000000004,0.42100000000000004,0.42100000000000004,0.42100000000000004,0.42100000000000004
Ukraine,0.266,0.253,0.24,0.22699999999999998,0.21399999999999997,0.20099999999999996,0.18799999999999994,0.17499999999999993,0.16199999999999992,0.1489999999999999,0.1359999999999999,0.12299999999999989
Colombia,0.555,0.544,0.533,0.522,0.511,0.5,0.489,0.478,0.46699999999999997,0.45599999999999996,0.44499999999999995,0.43399999999999994
Comoros,0.45299999999999996,0.45299999999999996,0.45299999999999996,0.45299999999999996,0.45299999999999996,0.45299999999999996,0.45299999999999996,0.45299999999999996,0.45299999999999996,0.45299999999999996,0.45299999999999996,0.45299999999999996
Cabo Verde,0.47200000000000003,0.47200000000000003,0.47200000000000003,0.47200000000000003,0.47200000000000003,0.47200000000000003,0.47200000000000003,0.47200000000000003,0.47200000000000003,0.47200000000000003,0.47200000000000003,0.47200000000000003
Costa Rica,0.48700000000000004,0.506,0.5249999999999999,0.5439999999999999,0.563,0.5819999999999999,0.6009999999999998,0.6199999999999998,0.6389999999999998,0.6579999999999997,0.6769999999999996,0.6959999999999996
Cuba,0,0,0,0,0,0,0,0,0,0,0,0
