Country,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Germany,82110097.0,81902307.0,81776930.0,80274983.0,80425823.0,80645605.0,80982500.0,81686611.0,82348669.0,82657002.0,82927922.0,82927922.0
Djibouti,816358.0,827823.0,840198.0,853674.0,868136.0,883293.0,898696.0,913993.0,929112.0,944097.0,958920.0,958920.0
Dominica,70827.0,70851.0,70878.0,70916.0,70965.0,71016.0,71085.0,71183.0,71307.0,71458.0,71625.0,71625.0
Dominican Republic,9458075.0,9576737.0,9695121.0,9813210.0,9930911.0,10048224.0,10165178.0,10281680.0,10397743.0,10513131.0,10627165.0,10627165.0
Algeria,34730608.0,35333881.0,35977455.0,36661444.0,37383887.0,38140132.0,38923687.0,39728025.0,40551404.0,41389198.0,42228429.0,42228429.0
Ecuador,14535739.0,14774424.0,15011117.0,15243883.0,15474102.0,15707474.0,15951838.0,16212020.0,16491115.0,16785361.0,17084357.0,17084357.0
Egypt,79636079.0,81134798.0,82761235.0,84529250.0,86422240.0,88404640.0,90424654.0,92442547.0,94447072.0,96442593.0,98423595.0,98423595.0
Eritrea,3062779.0,3119920.0,3170435.0,3213972.0,3213972.0,3213972.0,3213972.0,3213972.0,3213972.0,3213972.0,3213972.0,3213972.0
Spain,45954106.0,46362946.0,46576897.0,46742697.0,46773055.0,46620045.0,46480882.0,46444832.0,46483569.0,46593236.0,46723749.0,46723749.0
Ethiopia,82916235.0,85233913.0,87639964.0,90139927.0,92726971.0,95385785.0,98094253.0,100835458.0,103603501.0,106400024.0,109224559.0,109224559.0
Finland,5313399.0,5338871.0,5363352.0,5388272.0,5413971.0,5438972.0,5461512.0,5479531.0,5495303.0,5508214.0,5518050.0,5518050.0
Fiji,845361.0,853637.0,859818.0,863449.0,865069.0,865608.0,866453.0,868627.0,872399.0,877459.0,883483.0,883483.0
France,64374984.0,64707040.0,65027507.0,65342780.0,65659809.0,65998687.0,66316100.0,66593366.0,66859768.0,66865144.0,66987244.0,66987244.0
"Micronesia, Fed. Sts.",103543.0,102975.0,102911.0,103450.0,104506.0,105926.0,107446.0,108895.0,110215.0,111459.0,112640.0,112640.0
Gabon,1518540.0,1568928.0,1624140.0,1684635.0,1749682.0,1817071.0,1883800.0,1947686.0,2007873.0,2064823.0,2119275.0,2119275.0
United Kingdom,61806995.0,62276270.0,62766365.0,63258918.0,63700300.0,64128226.0,64613160.0,65128861.0,65595565.0,66058859.0,66488991.0,66488991.0
Georgia,3848449.0,3814419.0,3786695.0,3756441.0,3728874.0,3717668.0,3719414.0,3725276.0,3727505.0,3728004.0,3731000.0,3731000.0
Ghana,23563825.0,24170940.0,24779619.0,25387710.0,25996449.0,26607642.0,27224472.0,27849205.0,28481946.0,29121471.0,29767108.0,29767108.0
Guinea,9738792.0,9964469.0,10192176.0,10420471.0,10652029.0,10892810.0,11150977.0,11432088.0,11738441.0,12067539.0,12414318.0,12414318.0
Gambia,1689285.0,1740279.0,1793196.0,1848147.0,1905011.0,1963711.0,2024042.0,2085860.0,2149139.0,2213894.0,2280102.0,2280102.0
Guinea-Bissau,1446936.0,1483921.0,1522599.0,1562989.0,1604979.0,1648257.0,1692439.0,1737202.0,1782437.0,1828146.0,1874309.0,1874309.0
Greece,11077841.0,11107017.0,11121341.0,11104899.0,11045011.0,10965211.0,10892413.0,10820883.0,10775971.0,10754679.0,10727668.0,10727668.0
Grenada,105456.0,105789.0,106233.0,106796.0,107446.0,108170.0,108902.0,109599.0,110261.0,110874.0,111454.0,111454.0
Greenland,56328.0,56323.0,56905.0,56890.0,56810.0,56483.0,56295.0,56114.0,56186.0,56171.0,56025.0,56025.0
Guatemala,14006428.0,14316263.0,14630417.0,14948803.0,15270778.0,15595821.0,15923243.0,16252429.0,16583060.0,16914936.0,17247807.0,17247807.0
Guam,159036.0,159226.0,159444.0,159692.0,159996.0,160407.0,161016.0,161853.0,162951.0,164281.0,165768.0,165768.0
Guyana,746817.0,747718.0,749436.0,752028.0,755399.0,759285.0,763380.0,767432.0,771366.0,775221.0,779004.0,779004.0
"Hong Kong, China",6957800.0,6972800.0,7024200.0,7071600.0,7150100.0,7178900.0,7229500.0,7291300.0,7336600.0,7391700.0,7451000.0,7451000.0
Honduras,7980955.0,8150775.0,8317470.0,8480671.0,8640691.0,8798521.0,8955589.0,9112916.0,9270795.0,9429013.0,9587522.0,9587522.0
Croatia,4309705.0,4305181.0,4295427.0,4280622.0,4267558.0,4255689.0,4238389.0,4203604.0,4174349.0,4124531.0,4089400.0,4089400.0
Haiti,9646580.0,9798046.0,9949322.0,10100320.0,10250930.0,10400673.0,10549008.0,10695542.0,10839970.0,10982366.0,11123176.0,11123176.0
Hungary,10038188.0,10022650.0,10000023.0,9971727.0,9920362.0,9893082.0,9866468.0,9843028.0,9814023.0,9787966.0,9768785.0,9768785.0
Indonesia,235469762.0,238620563.0,241834215.0,245116206.0,248452413.0,251806402.0,255129004.0,258383256.0,261554226.0,264645886.0,267663435.0,267663435.0
India,1200669765.0,1217726215.0,1234281170.0,1250288729.0,1265782790.0,1280846129.0,1295604184.0,1310152403.0,1324509589.0,1338658835.0,1352617328.0,1352617328.0
Ireland,4489544.0,4535375.0,4560155.0,4580084.0,4599533.0,4623816.0,4657740.0,4701957.0,4755335.0,4807388.0,4853506.0,4853506.0
